id,host_id,host_response_rate,host_is_superhost,neighbourhood,property_type,room_type,accommodates,guests_included,bathrooms,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,description_score
6657574,20765151,94.88679817905918,1.0,Other neighborhoods,House,Private room,1,1,1.5,1.0,1.0,45.0,8,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.990166545
566435,2438665,100.0,0.0,Other neighborhoods,House,Private room,2,2,3.5,1.0,1.0,65.0,37,95.0,9.0,10.0,10.0,10.0,9.0,9.0,0.5
226495,1037115,100.0,0.0,Other neighborhoods,Apartment,Entire home/apt,6,4,1.0,2.0,3.0,170.0,42,89.0,9.0,9.0,10.0,9.0,9.0,9.0,0.5
9394485,37479633,100.0,0.0,Other neighborhoods,House,Entire home/apt,4,4,1.0,2.0,3.0,119.0,2,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.991478324
8116504,9783390,100.0,0.0,Other neighborhoods,House,Entire home/apt,2,1,1.0,1.0,1.0,100.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.981418967
80188,409899,100.0,1.0,Other neighborhoods,House,Entire home/apt,3,1,1.0,2.0,2.0,114.0,133,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0.902158558
9696286,1918676,88.0,0.0,Other neighborhoods,House,Entire home/apt,4,1,1.0,2.0,2.0,100.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.998843074
7788695,30979808,100.0,1.0,Other neighborhoods,House,Private room,2,3,1.0,1.0,1.0,68.0,33,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0.888793588
1289082,1037115,100.0,0.0,Other neighborhoods,Apartment,Entire home/apt,8,6,2.0,3.0,3.0,275.0,29,87.0,9.0,9.0,10.0,9.0,9.0,8.0,0.7397874590000001
3656508,18522959,100.0,0.0,Other neighborhoods,House,Private room,2,1,1.0,1.0,1.0,35.0,26,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0.92237854
8119192,42873852,100.0,0.0,Other neighborhoods,House,Private room,4,2,1.0,1.0,2.0,75.0,7,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.955745101
5487653,15315685,90.0,1.0,Other neighborhoods,House,Entire home/apt,6,3,2.0,3.0,3.0,95.0,2,90.0,8.0,8.0,9.0,8.0,9.0,10.0,0.98681879
493591,2438665,100.0,0.0,Other neighborhoods,Bed & Breakfast,Private room,2,2,3.5,1.0,3.0,65.0,74,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0.5
9534,31481,100.0,1.0,West Seattle,House,Entire home/apt,3,2,1.0,2.0,2.0,125.0,14,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9956984520000001
6902752,36174062,100.0,0.0,West Seattle,House,Private room,2,2,1.0,1.0,1.0,75.0,10,98.0,10.0,10.0,9.0,9.0,10.0,10.0,0.5
7902569,9484575,100.0,1.0,West Seattle,House,Private room,3,1,1.0,1.0,2.0,72.0,30,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0.967724085
9531,31481,100.0,1.0,West Seattle,House,Entire home/apt,4,2,1.0,2.0,5.0,165.0,26,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.993085265
5759668,22764472,100.0,0.0,West Seattle,House,Entire home/apt,6,1,2.0,2.0,3.0,125.0,17,96.0,9.0,10.0,9.0,10.0,9.0,9.0,0.921911657
4030640,8607308,100.0,1.0,West Seattle,Apartment,Entire home/apt,2,2,1.0,1.0,1.0,125.0,10,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.985234141
4395654,430709,88.0,0.0,West Seattle,House,Entire home/apt,3,1,1.0,0.0,2.0,120.0,1,80.0,10.0,10.0,10.0,10.0,8.0,8.0,0.9903221729999999
6759046,35386308,94.88679817905918,0.0,West Seattle,House,Private room,2,1,0.5,1.0,1.0,75.0,3,93.0,9.0,10.0,10.0,10.0,10.0,8.0,0.9327061179999999
10020782,44977814,94.88679817905918,0.0,West Seattle,House,Entire home/apt,6,1,2.0,3.0,4.0,299.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.948432863
1252147,110917,94.88679817905918,0.0,West Seattle,Townhouse,Entire home/apt,4,4,1.5,1.0,2.0,200.0,34,96.0,10.0,10.0,10.0,10.0,9.0,10.0,0.5
5652705,33360,100.0,0.0,West Seattle,House,Entire home/apt,2,1,1.0,1.0,1.0,125.0,5,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0.9467184540000001
9410043,17940762,100.0,0.0,West Seattle,House,Entire home/apt,8,8,2.5,4.0,4.0,250.0,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.96988517
46022,205412,100.0,0.0,West Seattle,House,Private room,5,3,1.0,1.0,2.0,75.0,5,99.0,9.0,10.0,10.0,10.0,10.0,10.0,0.5
4996554,8880117,100.0,0.0,West Seattle,House,Entire home/apt,4,0,1.0,2.0,2.0,119.0,13,91.0,9.0,9.0,9.0,10.0,10.0,10.0,0.980259478
692080,205325,94.88679817905918,0.0,West Seattle,House,Entire home/apt,8,8,2.5,5.0,1.0,370.0,1,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0.897670388
153967,205412,100.0,0.0,West Seattle,House,Entire home/apt,12,7,1.0,2.0,4.0,117.0,54,89.0,9.0,9.0,10.0,10.0,9.0,9.0,0.5
9328278,48414763,100.0,0.0,West Seattle,House,Entire home/apt,2,1,1.0,0.0,2.0,85.0,6,100.0,10.0,10.0,10.0,10.0,9.0,9.0,0.760948539
8566242,1886546,100.0,0.0,West Seattle,House,Entire home/apt,4,1,1.0,2.0,2.0,200.0,1,100.0,10.0,10.0,10.0,10.0,10.0,6.0,0.873208463
6567683,1801138,100.0,1.0,West Seattle,House,Entire home/apt,4,1,2.0,2.0,2.0,129.0,19,96.0,10.0,10.0,10.0,9.0,10.0,9.0,0.5
6794702,35566596,60.0,0.0,West Seattle,House,Entire home/apt,2,1,1.0,1.0,1.0,70.0,4,100.0,9.0,9.0,10.0,10.0,10.0,10.0,0.9016422629999999
7746170,40716728,100.0,0.0,West Seattle,House,Private room,2,1,1.0,1.0,1.0,65.0,12,83.0,9.0,9.0,9.0,10.0,9.0,9.0,0.9313410520000001
157939,668141,100.0,1.0,West Seattle,Apartment,Entire home/apt,2,2,1.0,1.0,1.0,110.0,22,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0.986045182
7459637,20935626,100.0,0.0,West Seattle,House,Entire home/apt,2,1,1.5,1.0,1.0,109.0,4,90.0,9.0,9.0,9.0,9.0,9.0,9.0,0.9025173190000001
6079131,30112460,100.0,1.0,West Seattle,Apartment,Entire home/apt,2,1,1.0,0.0,1.0,88.0,30,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0.974926889
158953,205412,100.0,0.0,West Seattle,House,Private room,4,2,1.0,1.0,1.0,75.0,2,96.0,9.0,10.0,10.0,10.0,9.0,9.0,0.5
8342968,4660603,94.88679817905918,0.0,West Seattle,House,Private room,2,1,1.0,1.0,1.0,65.0,2,100.0,10.0,10.0,10.0,10.0,8.0,8.0,0.955228567
6512979,34051643,100.0,0.0,West Seattle,Apartment,Entire home/apt,2,1,1.0,1.0,1.0,75.0,10,94.0,10.0,10.0,10.0,10.0,10.0,10.0,0.968520403
